Neighborhood,Latitude,Longitude
ADRIANO,45.51173849,9.245335882
AFFORI,45.51481443,9.172760137
ASSIANO,45.4550628,9.062975786
BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,45.46117453,9.088394833
BANDE NERE,45.46070294,9.138751243
BARONA,45.43268791,9.154456259
BICOCCA,45.51744933,9.210781932
BOVISA,45.50185946,9.165413326
BOVISASCA,45.51696396,9.15423769
BRERA,45.47341347,9.187425046
BRUZZANO,45.52697929,9.173247472
BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,45.47754732,9.214855448
CANTALUPA,45.4190831,9.158632437
CASCINA MERLATA,45.52253739,9.103008646
CHIARAVALLE,45.41661014,9.239770566
CIMIANO - ROTTOLE - Q.RE FELTRE,45.49507581,9.243414812
CITTA' STUDI,45.47901832,9.230048156
COMASINA,45.52599346,9.16194348
CORSICA,45.46413384,9.230148549
DE ANGELI - MONTE ROSA,45.47388633,9.148200084
DERGANO,45.50197711,9.177704575
DUOMO,45.46335544,9.187243714
FARINI,45.49545476,9.17617465
FIGINO,45.49226487,9.075504195
FORZE ARMATE,45.46080069,9.11207381
GHISOLFA,45.49093719,9.162956817
GIAMBELLINO,45.44933683,9.142539347
GIARDINI P.TA VENEZIA,45.47407941,9.202001193
GORLA - PRECOTTO,45.5116544,9.227158824
GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,45.41218452,9.171893898
GRECO - SEGNANO,45.50318521,9.207289679
GUASTALLA,45.46349436,9.202273287
ISOLA,45.49029951,9.189682715
LAMBRATE - ORTICA,45.47933495,9.244793407
LODI - CORVETTO,45.43961481,9.224220387
LORENTEGGIO,45.45139852,9.126924443
LORETO - CASORETTO - NOLO,45.49016952,9.222850072
MACIACHINI - MAGGIOLINA,45.49705286,9.198157949
MAGENTA - S. VITTORE,45.46330851,9.171163935
MAGGIORE - MUSOCCO - CERTOSA,45.50323098,9.122688031
MONCUCCO - SAN CRISTOFORO,45.44223698,9.157718857
MONLUE' - PONTE LAMBRO,45.44365438,9.26297994
MORIVIONE,45.44003151,9.194394293
MUGGIANO,45.45163041,9.070629345
NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,45.51666742,9.196335433
ORTOMERCATO,45.45347292,9.226621009
PADOVA - TURRO - CRESCENZAGO,45.5021087,9.234646439
PAGANO,45.47202482,9.162162819
PARCO BOSCO IN CITTA',45.47938064,9.089902941
PARCO DEI NAVIGLI,45.42316056,9.142879848
PARCO DELLE ABBAZIE,45.41446107,9.209698187
PARCO FORLANINI - CAVRIANO,45.46808137,9.251195348
PARCO NORD,45.52094595,9.180989484
PARCO SEMPIONE,45.47505531,9.177196648
PORTA GARIBALDI - PORTA NUOVA,45.48317697,9.190991059
PORTA GENOVA,45.45449502,9.161524854
PORTA MAGENTA,45.46218768,9.156387193
PORTA TICINESE - CONCA DEL NAVIGLIO,45.45147197,9.180423211
PORTA TICINESE - CONCHETTA,45.44913126,9.170077706
PORTA VIGENTINA - PORTA LODOVICA,45.45158116,9.192699792
PORTELLO,45.48510015,9.154730696
PTA ROMANA,45.45056038,9.205261305
Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,45.49727929,9.110176046
QT 8,45.48494189,9.137057601
QUARTO CAGNINO,45.47367029,9.110679027
QUARTO OGGIARO - VIALBA - MUSOCCO,45.51455806,9.136655682
QUINTO ROMANO,45.47813998,9.088673413
QUINTOSOLE,45.40233353,9.205695132
ROGOREDO - SANTA GIULIA,45.43497747,9.243658484
RONCHETTO DELLE RANE,45.40167204,9.181249036
RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,45.44069027,9.141869605
ROSERIO,45.51857768,9.118641819
SAN SIRO,45.47108891,9.138732696
SARPI,45.48303381,9.169193591
SCALO ROMANA,45.43932546,9.208505069
STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,45.43099756,9.177396565
STADIO - IPPODROMI,45.4759585,9.125132764
STAZIONE CENTRALE - PONTE SEVESO,45.48597283,9.204292309
STEPHENSON,45.51282951,9.119209174
TALIEDO - MORSENCHIO - Q.RE FORLANINI,45.45319673,9.245674202
TIBALDI,45.4404047,9.179315799
TRE TORRI,45.47618907,9.1560337
TRENNO,45.49223306,9.101483238
TRIULZO SUPERIORE,45.42729856,9.250959399
UMBRIA - MOLISE - CALVAIRATE,45.45244205,9.219056107
VIGENTINO - Q.RE FATIMA,45.43054748,9.2014055
VILLAPIZZONE - CAGNOLA - BOLDINASCO,45.49678085,9.144270378
XXII MARZO,45.46234099,9.214260308
